文物名称,时代,图片链接,分类,窑口,文物简介
青花团龙纹提梁壶,明隆庆,http://www.dpm.org.cn/Uploads/Picture/dc/54.jpg,釉下彩,景德镇窑,青花团龙纹提梁壶，通高30厘米，口径10.5厘米，足径15.3厘米。壶短颈，圆肩，鼓腹，圈足，曲流，提梁柄。颈绘青花十字朵云，肩绘双云龙，主体纹饰是腹部的五组团龙纹，纹饰空隙处有灵芝草托暗八仙纹，足上绘莲瓣纹一周。宝珠钮盖，钮上绘缠枝花叶，盖面有双云龙及朵云纹。曲流及提梁柄上满绘缠枝花卉纹。底青花双圈内楷书“大明隆庆年造”六字款。此壶体态硕大，胎厚重，造型淳厚饱满。底釉光洁明澈，使用回青料，发色蓝中泛紫，浓丽鲜艳。花纹虽密，但繁而不乱，层次清晰。此器代表了明中后期官窑青花的制作水平。其时青花图案除团龙纹外，还有团鹤、团螭、团凤、团花等，山石、鱼藻、花鸟等也常见。穆宗隆庆只有六年，青花瓷器的制品较少。这件提梁壶带有隆庆本朝款识，是目前国内仅存的珍品之一。
紫地素三彩折枝花果云龙纹盘,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/57128.jpg,三彩,景德镇窑,紫地素三彩折枝花果云龙纹盘，明万历，高2.7厘米，口径14厘米，足径8.5厘米。盘内外均以紫地素三彩装饰。内外壁均绘折枝花纹，绿叶黄花。内底黄色线圈内绘云龙纹。圈足内施紫釉。外底署绿彩楷体 “大明万历年制”六字双行款，外围黄彩双线圈。
青花云龙双耳炉,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/53454.jpg,釉下彩,景德镇窑,青花云龙双耳炉，明万历，高30.8厘米，口径22厘米，足径17.5厘米。此炉仅余腹部，胎体厚重，釉面泛青，外壁以青花绘双应龙腾飞于海水江崖之中，腹部一面长方形开光，内书“江西抚州府临江县，客寓平阳县市心街，居住信士黄世锦、妻林氏，男□子露同侄黄子佩、妻薛氏、陈氏，男应神喜舍大香炉、花瓶壹付，祈保家门清吉、人口平安、买卖亨通、诸事迪吉、福有所归。大明万历壬寅仲夏立日吉”。万历壬寅年为万历三十年（1602年）明代晚期佛教、道教盛行，此时民窑烧制一种特殊的瓷器，即为庙宇定烧的供奉器皿，并多在供器上写下祈求的愿望，以求神仙保佑。供器一般以香炉、瓶最为多见，此外还有净水碗、盘等。
龙泉炉,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/53457.jpg,颜色釉,龙泉窑,龙泉炉，明万历，高21.5厘米，口径28.2厘米，足距22厘米。香炉筒式，腹下略收，下承三足，底外凸。通体施青釉，釉面较薄，有黄色的开片纹，口沿凸起两道弦纹，中间等距饰6个鼓钉。器腹一周印5朵莲花纹，一侧有长方形开光，内有铭文“龙泉县一都玖保皇□居社户李成德，出心舍田贰石□□□□安□瓶及炉一副，恭入本社。天师大真人衙前永远供奉，专保家肥屋满，子贵孙贤，一门富盛百事利，享有□者。万历二十八年十一月吉日。”（万历二十八年为1600年）龙泉窑始于五代，终于清代，是我国制瓷历史最长、影响深远的一个瓷窑。龙泉窑在南宋发展到顶峰，元代烧制出大量的大件器皿远销国外。明初龙泉窑仍保留着宋元风格，至中期以后逐渐衰落。此炉造型承袭元龙泉窑风格，施釉较薄，釉色偏黄，制作粗糙，为明代晚期龙泉窑典型作品。
素三彩团龙瓶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/53504.jpg,杂釉彩,景德镇窑,素三彩团龙瓶，明万历，高37.5厘米，口径9.5厘米，足径16厘米。瓶锔口，短颈，溜肩，瘦胫，圈足外撇。颈部及近足处均绘有一周黄彩宽带纹，肩部以青花绘莲瓣纹，外壁以孔雀蓝釉为地，黄彩饰团龙纹。素三彩是指景德镇烧制的一种低温釉上彩瓷。器表纹饰以黄、绿、紫彩为主，不用或少用红彩，故称素三彩。清人许之衡著《饮流斋说瓷》中有“茄、黄、绿三色绘成花纹者谓之素三彩”。其制作方法是在高温烧成的素胎上，用彩釉填在已刻好的纹样内，然后再经低温烧成。素三彩创烧于明宣德时期，万历素三彩器出现色地叠烧工艺，如黄地三彩、绿地三彩等。此器是以孔雀蓝釉为地，上施黄彩，虽然彩有剥落，且不甚均匀，但我院收藏明万历素三彩器仅此一件。
宜兴时大彬制紫砂壶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/53163.jpg,紫砂,未知,宜兴时大彬制紫砂壶，明万历。
五彩张天师斩五毒纹小盘,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/50574.jpg,五彩,未知,五彩张天师斩五毒纹小盘，明万历，高1.9厘米，口径10.6厘米，足径6.6厘米。盘撇口，浅弧壁，圈足。内外青花五彩装饰。内底绘张天师斩五毒图，张天师持剑立于树下坡地上，周围描绘蟾蜍、蝎、蛇等。内壁绘相间排列的菖蒲叶、折枝石榴花、艾草等共八组。外壁绘相间排列的菖蒲叶、折枝石榴花、艾草等，间绘以蛇、蝎、蟾蜍、蜈蚣、壁虎等。外底青花双圈内署青花楷体“大明万历年制”六字双行款。从此盘上的装饰题材看，这应是一件万历时期景德镇御窑厂专门为宫廷烧造的供端午节使用的应景物品，图案寓“袪毒辟邪”之意。端午节为每年农历五月初五日为端午节，是我国传统的节日，又名“端阳节”、“午日节”、“五月节”、“艾节”、“夏节”等。五月天气渐热，细菌容易繁殖，蛇、蝎、蟾蜍、蜈蚣、壁虎（俗称五毒）等毒虫纷纷出动，疠疫常常发生，致使五月又有“恶月”之称，五月五日又有“恶日”之称。因此，人们想方设法在此时辟瘟祛邪，以求安康。民间在端午节这一天家家于门上悬挂艾草、菖蒲或石榴、蒜头等，都是有此用意。因为菖蒲的叶子像剑，被称作“蒲剑”、“水剑”，因此，人们认为将其插在门上可以斩千邪。艾草有异味，是可以用来治病的药草，人们认为将其悬于户上，可禳毒气。花红似火的石榴花正是这个季节的花卉，也有治病的功能，可以避祸。大蒜头像锤子，气味辛烈，具有祛病消炎的功用。张天师名陵，又名道陵，是东汉五斗米道的创立者，教人信奉道教，并用符水咒法给人治病，后世道徒尊其为天师。传说中的张天师神通广大，有龙虎护法，能除五毒并，辟瘟消灾，因此，民间习俗常在端午节悬挂张天师画像，以祛邪除祟、镇宅佑安。
淡茄皮紫釉暗划云龙纹碗,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24296.jpg,颜色釉,景德镇窑,淡茄皮紫釉暗划云龙纹碗，明万历，高7.3厘米，口径15厘米，足径5.5厘米。碗撇口，弧壁，深腹，圈足。内施白釉。外壁施淡茄皮紫色釉。腹部暗刻二云龙赶珠纹。圈足墙外暗刻回纹。圈足内施白釉。外底署青花楷体“大明万历年制”六字双行款，外围青花双线圈。明代茄皮紫釉以呈色黑紫的深茄皮紫釉较多，淡茄皮紫釉较少见。此碗即属于后者，且釉色纯正，刻花生动，弥足珍贵。茄皮紫釉创烧于明代早期，它是一种以氧化锰为呈色剂的高温釉，釉料中的铁、钴等其他金属元素则起调色作用。其釉色有深、浅之别，深者如熟透的黑紫色茄皮，常施于尊、罐、大盘、大碗等器上；浅者则似未熟的茄皮呈淡紫色，多施于小件盘、碗之上。
斗彩折枝莲托八吉祥纹碗,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24416.jpg,斗彩,景德镇窑,斗彩折枝莲托八吉祥纹碗，明万历，高8.7厘米，口径16.5厘米，足径7.1厘米。碗撇口，深弧腹，圈足。外壁斗彩装饰。腹部绘8组折枝莲托八吉祥纹。近底处绘变形莲瓣纹。圈足内施白釉。外底署青花楷体“大明万历年制” 双行六字款，外围青花双方栏。此碗是佛前供器，造型和纹饰均模仿成化斗彩瓷器，形制秀美，纹饰简明，色彩艳丽。明万历朝斗彩器物不多，其器形及纹饰仍宗奉成化斗彩，但与成化斗彩相比，其色彩更为艳丽。八吉祥属于藏传佛教使用的八种吉祥物，即法轮、法螺、宝伞、白盖、莲花、宝罐、金鱼、盘肠。
黄地素三彩二龙戏珠纹盘,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24344.jpg,杂釉彩,景德镇窑,黄地素三彩二龙戏珠纹盘，明万历，高4.4厘米，口径23.3厘米，足径16厘米。盘敞口，弧壁，圈足。盘心微下塌。通体黄地素三彩装饰。内底饰双龙戏珠纹，外壁饰缠枝莲纹。圈足内施黄釉。外底署青花楷体“大明万历年制” 双行六字款，外围青花双线圈。此盘的所有纹样均先用黑彩勾出轮廓，其内再填以紫、绿、孔雀绿、黑彩等。外壁黑彩晕散严重。盘的造型不太规整，龙纹随意性较强，爪如花朵，口、腹、足底均有窑裂，反映出万历时期御器厂瓷器生产质量趋于下降的状况。在黄釉的掩映下，青花款呈蓝黑色。
绿地黄彩开光云龙纹盖罐,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24342.jpg,杂釉彩,景德镇窑,绿地黄彩开光云龙纹盖罐，明万历，高19.1厘米，口径9.4厘米，足径11.3厘米。罐直口，短颈，丰肩，鼓腹，圈足。罐外壁绿地黄彩装饰，肩部饰变形莲瓣纹，腹部4个菱形开光内均饰云龙纹，开光上下分别以法轮、法螺、宝伞、白盖、莲花、宝罐、金鱼、盘肠等八吉祥相隔。盖面中心饰云龙纹，外部环绕11个变形莲瓣纹。圈足内施白釉。外底署青花楷体“大明万历年制”双行六字款，外围青花双线圈。此罐的所有图案均先在素胎上刻划，再施以低温釉彩。
五彩云凤纹葫芦式壁瓶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/50547.jpg,五彩,景德镇窑,五彩云凤纹葫芦式壁瓶，明万历，高31厘米，口横3.7厘米，足横11.7厘米。瓶呈半个葫芦形，半圈足。外壁青花五彩装饰。上腹部绘云凤纹，束腰处绘多道云头纹，下腹部绘花鸟凤凰纹。背部署青花楷体“大明万历年制”双行六字款，外围青花双方栏，上覆荷叶，下托折枝莲花。此瓶所施色彩浓重鲜艳，虽纹饰满密，但主题鲜明，上半部飞于空中的双凤与下半部立于地面的凤凰构成了整体画面动与静的强烈对比，堪称万历五彩瓷器中的代表作品。壁瓶又称轿瓶，后壁为平板形，大多有穿孔，以便将其挂在墙壁或车轿，为明万历时的创新器形。
五彩鸳莲纹提梁壶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24401.jpg,五彩,景德镇窑,五彩鸳莲纹提梁壶，明万历，高20.5厘米，口径8.7厘米，足径11.8厘米。壶唇口，短颈，丰肩，圆腹，圈足。肩部附提梁和曲流。附伞形盖，盖顶置宝珠形纽。通体青花五彩装饰。腹部绘莲池鸳鸯图。肩部绘云头纹一周，近足处绘变形莲纹一周。盖面绘花卉、飞雀和蝴蝶。柄与流上均绘串枝朵花。所用釉上彩以红、黄、绿彩为主。圈足内施白釉。外底署青花楷体“大明万历年制” 双行六字款，外围青花双线圈。此壶为宫中饮茶用器。构图饱满，纹饰线条较粗，图案生动活泼。明万历时期的五彩小件器与嘉靖时类似，品种略多，大件器越加盛行，大花觚（gū 音孤）、大蒜头瓶、大葫芦瓶等为典型器形。这时的五彩器几乎全是青花五彩，传世品中釉上五彩器很少。
五彩鱼藻纹蒜头瓶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24339.jpg,五彩,景德镇窑,五彩鱼藻纹蒜头瓶，明万历，高40.3厘米，口径7.8厘米，足径13.7厘米。瓶蒜头口，细长颈，圆腹下垂，圈足。通体青花五彩装饰，釉上彩有红、黄、绿、褐、紫彩等。腹部绘鱼藻纹，颈部绘折枝梅花纹。上下衬以变形莲瓣、卷草纹等。口沿下署青花楷体“大明万历年制”六字横排款。此瓶属于当时宫中的陈设用瓷，造型端庄凝重，优美典雅，纹饰细腻，线条流畅。鱼藻纹蒜头瓶这类大件彩瓷均为万历时新创。这种瓶除了以鱼藻纹装饰者以外，尚见有以鸳鸯莲花纹和龙穿花纹装饰者。明代万历青花五彩的风格与早期五彩迥然不同，前者用色具有强烈的装饰性，颜色多用红、黄、绿、紫等饱和色，而不用浅淡的中间色，以红浓绿艳取胜。绘画用笔豪放不羁，线条挺健有力。
青花婴戏图圆盒,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/25246.jpg,釉下彩,景德镇窑,青花婴戏图圆盒，明万历，通高11.3厘米，口径20.8厘米，足径16.2厘米。盒上下子母口套合，口微内敛，弧形壁，圈足。通体青花装饰。盖面主题纹饰为婴戏图，绘16个顽童在庭院中玩耍，下衬以云龙戏珠、杂宝、卷草纹等。圈足内施白釉。外底署青花楷体“大明万历年制” 双行六字款，外围青花双线圈。这种盖盒胎体厚重坚硬，为万历朝的典型式样。青花色泽艳丽明快，蓝中泛紫。纹饰构图繁而不乱，用笔随意生动，人物众多，形象夸张，寓意子孙繁衍。
青花龙凤纹出戟花觚,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24294.jpg,釉下彩,景德镇窑,青花龙凤纹出戟花觚，明万历，高21.9厘米，口径15.7厘米，足径11.3厘米。觚（gū 音孤）撇口，长颈，鼓腹，两侧对应出戟（jǐ 音几），高圈足外撇。通体青花装饰。腹部主题图案绘云龙和云凤纹。颈部绘洞石牡丹两组。足上绘云朵、折枝花和圆点纹。圈足内施白釉。外底署青花楷体“大明万历年制” 双行六字款，外围青花双线圈。此觚为宫廷陈设用器，仿商周青铜器式样，造型端庄，雄浑古朴。青花呈色蓝中泛紫。图案寓意吉祥，龙凤纹组合描绘寓意“龙凤呈祥”。
青花开光花鸟纹盘,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24223.jpg,釉下彩,景德镇窑,青花开光花鸟纹盘，明万历，高3.7厘米，口径21厘米，足径14厘米。盘撇口，浅壁，塌底，圈足。通体青花装饰。盘心绘花鸟纹，内壁绘锦地开光八组，开光内绘花果纹，外壁开光内绘变形灵芝纹。圈足内施白釉。无款识。在装饰方法上，明代景德镇民窑为适应外销的需要，一改传统的自上而下划分装饰区域与层次的传统做法，创造出一种新的独具时代特色的装饰图案，为我国瓷器装饰的创新开拓了一条新的成功之路。明代晚期大量生产一种既有东方民族传统风格、又充满着浓郁异国情趣的青花瓷盘，这种瓷盘的内壁 6到8个开光，开光内绘各种不同的锦纹和结带、璎珞纹饰。盘心处绘云龙、博古、双鹿或其它题材。这种器物在江西各地都有不同程度的出土，在国外的博物馆中也有一定数量的收藏。在美国、德国、荷兰、日本，甚至西班牙和伊朗等国，都曾进行过仿制。这种被欧洲人称为“嘉橹”，日本人称为“芙蓉手”的瓷器，是当时外销瓷中的重要品种之一，为我国瓷器装饰增添了新的内容与形式。
青花经文观音菩萨图碗,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/24068.jpg,釉下彩,景德镇窑,青花经文观音菩萨图碗，明万历，高7.6厘米，口径16.5厘米，足径7厘米。碗撇口，弧壁，玉璧形底。通体青花装饰。碗心书写青花楷体“南无无量寿佛”六字，环以缠枝花纹。外壁一侧绘观音像，渡海观音居中，足下波浪翻腾。善财童子合掌相拜，韦驮双手合十，横置金刚杵护法。另一侧青花楷书经文112字，首句为“南无大慈大悲救苦救难观世音菩萨”，落款为“皇明万历四十四年岁次丙辰仲冬月吉日精造”。外底素底无釉。无款识。此碗青花设色清新淡雅，富有层次，人物形象准确生动。最为珍贵的是署有纪年款，万历四十四年即1616年。以往认为清代康熙时始有斜削式细砂玉璧底，此碗证明明代万历时已开先河。
青花异兽纹花觚,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/9657.jpg,釉下彩,景德镇窑,青花异兽纹花觚，明万历，高76.5厘米，口径22.6厘米，足径19.3厘米。觚葵瓣式，敞口，沿上折，长颈，颈中部起凸棱，腹部鼓出，足部高长，微外撇。外口沿下横书楷书“大明万历年制”六字款，外围以双方栏。颈部绘洞石、花卉及草虫纹，凸棱之上绘双龙穿花及缠枝莲托八宝纹，颈最下部绘回纹一周，腹部八面皆绘异兽，足胫部位从上至下八面分别绘8组折枝花卉、松柏、异兽及花卉纹各一周。此花觚器形硕大，器身为8瓣花棱式，所绘纹饰繁密，从造型到纹饰都体现了万历时期花觚的特点。
青花鱼藻纹蒜头瓶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/8734.jpg,釉下彩,景德镇窑,青花鱼藻纹蒜头瓶，明万历，高37.5厘米，口径7.7厘米，足径18厘米。瓶直口蒜头式，长颈，溜肩，圆腹，圈足。直口下蒜头部分饰莲瓣纹，颈部饰花卉纹，肩部饰一周卷枝纹，腹部绘鱼藻纹。鱼儿呈各种姿态游弋，衬以淡色细笔绘出的水波纹，生动自然。口部书写“大明万历年制”六字横款。
青花龙穿花纹梅瓶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/2328.jpg,釉下彩,景德镇窑,青花龙穿花纹梅瓶，高43厘米，口径6.7厘米，足径15厘米。瓶唇口外撇，短颈溜肩，肩下渐收至底。通体青花纹饰。肩部绘变形灵芝及莲花瓣纹一周。瓶身绘二龙穿缠枝花纹，近底处亦绘变形灵芝、莲瓣纹一周，瓶肩部有青花楷书“大明万历年制”横行六字款。明万历时青花瓷器器型丰富多样，且制做大型器物之风十分盛行。当时的青花梅瓶最高者可达六十多厘米。其形制多为撇口或小直口，长颈，硬折肩，腹细长渐收。纹饰亦十分多样，有云龙、缠枝花卉、人物纹等多种。此瓶器型高大规整，釉面润泽，青花色泽蓝中泛紫，是万历青花大器的代表作。
五彩镂空云凤纹瓶,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/182.jpg,五彩,景德镇窑,五彩镂空云凤纹瓶，高49.5厘米，口径15厘米，足径17.2厘米。瓶洗口，长颈，垂腹，圈足。颈两侧贴饰狮耳。通体以褐色或赤褐色勾勒轮廓，用釉下青花及红、黄、绿、茄紫、孔雀绿诸彩装饰，全器共绘八层纹饰。瓶腹镂雕9只凤凰飞翔于祥云之间，构成了器物的主题纹样。瓶口镂空如意云头纹，颈部环绘五彩蕉叶纹，并镂雕若干飞舞的蝴蝶。颈部两侧堆雕的狮耳上有青花篆书“寿”字。颈下饰朵花和八宝纹。无款识。整个器物自口至底，层层花纹密布，无纤毫隙地，可称艳丽之至。这时期的五彩，一反明成化时彩瓷之疏朗、优雅、宁静，变为浓艳热烈的风格，纹饰繁密杂乱，布满器身。华丽俗艳有余而高雅秀美不足，为万历年五彩之特征，此瓶即典型器物。这件镂空云凤纹瓶不仅成功地运用了五彩装饰，而且以熟练的镂雕技艺，给人以巧夺天工之感。如此繁密的镂空与五彩装饰相结合的工艺，反映出当时瓷匠们高超的技能，是万历时期官窑五彩瓷中的稀世珍品。
天启仿成化款青花兔纹花口盘,明天启,http://www.dpm.org.cn/Uploads/Picture/dc/53827.jpg,釉下彩,未知,仿成化款青花兔纹菱花口盘，明天启。盘口呈菱花式，内壁一周饰花鸟、竹石等16处开光图案。盘心装饰几何形纹样，中间勾勒出白兔回首远望的图案。外壁以青花菊瓣纹勾边。外底青花双圈内署青花楷体“大明成化年造”六字双行款，款字笔画粗率。从款识书写方式和青花发色判断，此盘与成化本朝器物特征相去甚远，当为后世伪托款。而其圈足处理粗糙、酱口、釉色青灰等特征，与晚明天启、崇祯时期民窑日用器风格相符。特别是盘心以几何形窗格纹做装饰，更是万历后期至天启朝民窑瓷器上所常见的。综合以上因素，可将其年代断为明天启时期。晚明以来，官窑生产较之前代渐趋衰落，民窑得以蓬勃发展。此件小盘装饰图案丰富，不拘泥于官窑样式，所绘兔纹只寥寥数笔，却有来自民间的灵动鲜活气息。
龙泉炉,明天启,http://www.dpm.org.cn/Uploads/Picture/dc/53456.jpg,颜色釉,龙泉窑,龙泉炉，明天启，高28厘米，口径27.5厘米，足径22厘米。香炉筒式，直腹，下承三足，底出脐。通体施龙泉青釉，釉色深沉，釉面开片较大，脐底刷一层酱色的护胎釉。外壁一面暗刻两朵折枝花卉；一面暗刻长方形开光，开光内暗刻铭文：“处州府龙泉县北隅柴□社供奉，弟子杨思礼、妻王氏、金娘，喜造炉、屏壹副，献奉保福寺天台普陀山观音佛母娘娘位前，祈保夫妻诺老，子孙昌盛，家门迪吉，财途□茂，福甚远大。天启五年十一月吉日。”（天启五年为1625年）元代龙泉窑香炉出现了一种新的形制，它在原有三足炉的基础上，在器物底部多加一层而略高于三足。我院收藏的明代龙泉炉大多继承元代香炉特征，多为悬足炉造型，纹饰绘有云龙、八卦、缠枝莲等。此炉胎体厚重，釉层略厚，透明度较高，纹饰刻划简略，为明龙泉窑典型器物。
青花罗汉图炉,明天启,http://www.dpm.org.cn/Uploads/Picture/dc/24917.jpg,釉下彩,景德镇窑,青花罗汉图炉，明天启，高17.5厘米，口径28.5厘米，足径18厘米。炉口微侈，束颈，鼓腹下敛，高圈足。底心处有一圆孔。胎体厚重。器里光素无纹，白釉闪青。外壁通体青花绘32个罗汉，三五成群笑谈于山水之间，周围衬以卷云、松柏、溪水、花草。圈足内施白釉。无款识。此器造型古朴，人物姿态生动自然，远山近水层次分明，山水交融，云雾缭绕，景致幽雅，意境深远。绘画线条清晰流畅，青花一改单线平涂的技法，并有色阶变化。香炉在明末清初时颇为流行，明末时香炉造型较清初香炉略高，更显古朴庄重。
五彩人物纹海棠式盘,明天启,http://www.dpm.org.cn/Uploads/Picture/dc/24073.jpg,五彩,景德镇窑,五彩人物纹海棠式盘，明天启，高2.3厘米，口径18.2×11.7厘米，底径14.8×8厘米。盘呈海棠式，敞口，浅腹，圈足。口沿施酱釉。内底画红彩海棠式开光，开光内以五彩描绘江中泛舟图，江面上一位船夫正在划桨，船上坐有二人正在交谈，岸边衬以松树、山石。外底署青花花押款。此盘造型别致，釉面洁白，器足圆润，画面主要以红彩为主，绿彩点缀其间，整体色彩淡雅，笔意粗率奔放，虽寥寥数笔，人物姿态却极为生动。据考证，此种海棠式盘系当时为适应日本市场需求而专门烧造的外销瓷，具有鲜明的时代特征。
青花出戟花觚,明天启,http://www.dpm.org.cn/Uploads/Picture/dc/8725.jpg,釉下彩,景德镇窑,青花出戟花觚，高31.8厘米，口径10.3厘米，足径10.2厘米。觚四方形，撇口，长颈，腹部四方呈弧形微鼓，四棱饰凸起的4条花边戟，高足外撇。颈通体青花装饰四面绘洞石花卉，一面口沿下方栏内自右向左署青花楷体“天启年米石隐制”七字横款。腹部四面分别绘折枝花，各托轮、螺、伞、盖4件宝器。腹部之下四面绘折枝葡萄，颈下近腹部及足边各绘火焰纹一周。花觚整体造型修长秀美，其纹饰采用勾边填色，技法精湛，色泽淡雅，在天启青花瓷器中尚属少见。另外，在传世的天启瓷器中，带有年款者不多，此件花觚有明确的天启年款，实为珍贵。
青花罗汉图钟,明天启,http://www.dpm.org.cn/Uploads/Picture/dc/56.jpg,釉下彩,景德镇窑,青花罗汉图钟，高19.6厘米，足径14.5厘米。钟为铜钟式，顶置双头龙纽。器里白釉无纹饰，器外通体以青花为饰，钟顶部和近口沿处各绘一周青花缠枝花纹，腹部绘十八罗汉图，肩部环刻阴文“大明天启元年孟夏月造”铭。明天启朝历时仅7年，传世品数量极少，此件带有明确纪年款的青花钟实属罕见珍品。此钟形制系模仿周代青铜打击乐器中的青铜钟。其造型秀丽，线条圆滑流畅，龙头钮设计巧妙，使精巧的瓷钟平添几分庄重气派。钟体洁白莹润的釉面上，以工整细腻的淡描青花描绘十八罗汉图，画中人物或卧或立，各持法器，各显神通，形象鲜明生动。此钟在天启青花大多画意粗率的器物中堪称精美之作。
五彩云龙盘,明崇祯,http://www.dpm.org.cn/Uploads/Picture/dc/53433.jpg,五彩,景德镇窑,五彩云龙盘，明崇祯，高5.3厘米，口径26.5厘米，足径16厘米。盘口微撇，弧壁，圈足。胎体厚重，通体五彩，盘心青花双圈内绘一立龙，周围满饰红彩云纹，双圈外以绿彩饰海水礁石，外壁绘双龙戏珠纹。底白釉，青花双圈內书“甲戌春孟赵府造用”八字楷书款。甲戌年为崇祯七年（1634年）。明成祖第三子高燧于永乐二年（1404年）被封为赵王。“赵府造用”款瓷器，为赵王府定烧用器。此盘从装饰风格及施彩特点都带有晚明时期的典型特征。此盘磨彩严重，但是一件带有明确纪年的王府用器，同样的器物并不多见，上海博物馆亦有收藏。
青花人物纹缸,明崇祯,http://www.dpm.org.cn/Uploads/Picture/dc/24076.jpg,釉下彩,景德镇窑,青花人物纹缸，明崇祯，高14.5厘米，口径19厘米，足径9.5厘米。缸直口，平沿，深腹，腹下渐收敛，平底，底心略凹。内施白釉。外壁绘青花人物纹。山石掩映的军帐前旌旗招展，大将吕布头戴束发冠，身穿百花袍，身后有一侍者，周围站立几名武士，手持各式兵器。吕布对面李肃手捧珍宝，献给吕布，其身后的几名随从也各持宝物。周围绘有旗帜、军帐、城池、山水、草木等。外底素胎无釉。无款识。此缸描绘的故事出自《三国演义》中的《馈宝说吕布》一节，李肃受董卓之命，带着赤兔宝马、黄金、珠宝、玉带等宝物来到洛阳城下的吕布军帐中，说服吕布投降。匠师巧妙地将此故事情节移植到器物的装饰画中，人物形象生动，青花色泽浓艳，为崇祯朝青花瓷器中的上乘之作。明末清初时期，文学艺术繁荣，不仅为瓷器纹样提供了丰富的创作题材，而且还深刻影响着瓷器装饰画面的艺术表现手法。民窑瓷器上的许多人物画中除了常见的婴戏图、八仙祝寿外，表现戏曲故事也特别盛行，《三国演义》、《西厢记》、《水浒传》等作品中的内容比比皆是，这与明代万历以来带有版画的戏曲剧本的大量流行有关。
绿地粉彩勾莲八宝纹奔巴壶,清,http://www.dpm.org.cnhttps://ggzlimg.dpm.org.cn/app/gugong/2023/0506/ovAlIxcA8Nj0fC3zt3HIX1NOABr6AEce6eDkm9Fc.jpg,未知,未知,径9.5厘米，高19.2厘米 奔巴壶原型是藏传佛教中的净水瓶。通体为青绿色底，上以蓝、白、绿、红、粉诸色绘制吉祥图案如八宝、莲花等。外底书“大清嘉庆年制”篆书款。 清廷制作此类奔巴壶，既可供奉干清宫佛堂中，同时也是赏赐西藏地区寺庙的法器之一。
白地矾红彩莲纹甘露瓶,清,http://www.dpm.org.cnhttps://ggzlimg.dpm.org.cn/app/gugong/2023/0506/SRQ3TpSBhFg9SUvxe15BI6rAeAxttXEfBpuQhPqU.jpg,未知,未知,口径3.3厘米，高22.1厘米 瓶颈上部绘五瓣小梅花装饰和仰覆莲瓣纹，颈下部绘如意云头纹。肩部一周绘垂花装饰纹，腹部绘四朵折技莲花主题纹，伞盖形底一周绘覆莲瓣纹。 清宫档案称作“红花白地甘露瓶”，烧自清乾隆十一年（1746)之后，是清廷赏赐清单中的常见器物。
青花藏文祝词僧帽壶,清,http://www.dpm.org.cnhttps://ggzlimg.dpm.org.cn/app/gugong/2023/0506/TMY0pgqdGlo3xA8RZxAtJYTJ5RWcXUancKDzOEsS.jpg,未知,未知,高23厘米，口径20.2厘米，足径8.8厘米 此件为清代仿明初宣德风格样式器物。壶口内外绘缠枝灵芝纹，颈部绘八宝纹，肩部绘如意云头纹，腹中部书一周青花藏文吉祥祝词，意为“日安宁，夜安宁，日夜长久安宁，愿三宝保佑安宁。”近底处绘仰莲纹，内绘折技莲花纹。底部青花双圈内书四字楷书款“宣德年制”寄托款。类似器物在西藏寺庙中亦有收藏。
青花魁星像笔插,清,http://www.dpm.org.cnhttps://ggzlimg.dpm.org.cn/app/gugong/2023/0116/pM9pXZBQSbv6vMs97IWpWTa2yNAkfxoB7Rz6IGiX.jpg,未知,未知,青花魁星像笔插，高15.9cm，宽12.3cm，底横长13.0cm，底纵宽7.0cm。 笔插呈座屏形，两侧装饰宝瓶形站牙，屏正面呈座箱式，并设三个圆孔，两大一小，即可插笔，器身施白釉，通体以青花描绘纹样，上有芭蕉扇，下有秀石、花鸟纹；另一面塑贴魁星像，魁星一手持斗，一手秉笔，脚踩云端，周围辅以七星、祥云吉庆纹。 此器又称笔屏，系置笔用具，通常为笔插和插屏的组合。明人屠隆《考槃馀事》记载：“有宋内制，方圆玉花板，用以镶屏插笔最宜。”
